,has_media,hashtags,img_urls,is_replied,is_reply_to,likes,links,parent_tweet_id,replies,reply_to_users,retweets,screen_name,text,text_html,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username,video_url,label
595,FALSE,[],[],FALSE,TRUE,0,['https://www.m1.com.sg/Mobile/sim-only-plan'],1.17E+18,0,"[{'screen_name': 'cplbao', 'user_id': '149714077'}]",0,M1Singapore,"Hi @cplbao, are you referring to our new website? Yes, we only have 1 base plan for SIM-only plan. When you start building your plan, there will be add-ons available depending on your needs. Check this out at https://www.m1.com.sg/Mobile/sim-only-plan …. Hope this helps. - Mel","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""149714077"" dir=""ltr"" href=""/cplbao""><s>@</s><b>cplbao</b></a>, are you referring to our new website? Yes, we only have 1 base plan for SIM-only plan. When you start building your plan, there will be add-ons available depending on your needs. Check this out at <a class=""twitter-timeline-link"" data-expanded-url=""https://www.m1.com.sg/Mobile/sim-only-plan"" dir=""ltr"" href=""https://t.co/Zoo2TOylaC"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.m1.com.sg/Mobile/sim-only-plan""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">m1.com.sg/Mobile/sim-onl</span><span class=""invisible"">y-plan</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>. Hope this helps. - Mel</p>",31-08-2019 10.39,1567247966,1.17E+18,/M1Singapore/status/1167748724732432384,1.10E+18,M1,,1
596,FALSE,[],[],TRUE,FALSE,0,[],,1,[],0,cplbao,@M1Singapore I dont like your new mobile plan interface. Why must log in to see more details? Is there only 1 x $25 dollar plan?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> I dont like your new mobile plan interface. Why must log in to see more details? Is there only 1 x $25 dollar plan?</p>",31-08-2019 10.33,1567247609,1.17E+18,/cplbao/status/1167747228984692737,149714077,abao,,0
597,FALSE,[],[],FALSE,FALSE,0,[],,0,[],0,MaciekGornicki,@M1Singapore congratulations on quietly increasing activation fee for data passport from $2 to $5. Well done!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> congratulations on quietly increasing activation fee for data passport from $2 to $5. Well done!</p>",29-08-2019 12.51,1567083078,1.17E+18,/MaciekGornicki/status/1167057134095175681,1.10E+18,Maciek Gornicki,,1
598,FALSE,[],[],FALSE,TRUE,0,['http://www.dnc.gov.sg'],1.17E+18,0,"[{'screen_name': 'hit_tp', 'user_id': '1252092296'}]",0,M1Singapore,"Hi @hit_tp, you may register the Do Not Call (DNC) Registry, it lets you opt out of marketing messages to your telephone number, such as those that advertise or promote goods or services.
You can register your M1 number to the DNC Registry online at http://www.dnc.gov.sg  - Yumi","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1252092296"" dir=""ltr"" href=""/hit_tp""><s>@</s><b>hit_tp</b></a>, you may register the Do Not Call (DNC) Registry, it lets you opt out of marketing messages to your telephone number, such as those that advertise or promote goods or services.
You can register your M1 number to the DNC Registry online at <a class=""twitter-timeline-link"" data-expanded-url=""http://www.dnc.gov.sg"" dir=""ltr"" href=""https://t.co/VNwY2y6eem"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.dnc.gov.sg""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">dnc.gov.sg</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> - Yumi</p>",29-08-2019 4.54,1567054496,1.17E+18,/M1Singapore/status/1166937253106593792,1.10E+18,M1,,0
599,FALSE,[],[],TRUE,TRUE,0,[],1.17E+18,1,"[{'screen_name': 'hit_tp', 'user_id': '1252092296'}, {'screen_name': 'M1Singapore', 'user_id': '1095247821647732738'}]",0,h0p3s0fl0v3,Wtf that alot,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Wtf that alot</p>",29-08-2019 4.44,1567053880,1.17E+18,/h0p3s0fl0v3/status/1166934670178541568,228569398,🌺静原花🌺 🔞🐑🐑,,0
600,TRUE,[],['https://pbs.twimg.com/media/EDHIg3lUYAAPP-E.jpg'],TRUE,TRUE,0,[],1.17E+18,2,"[{'screen_name': 'h0p3s0fl0v3', 'user_id': '228569398'}]",0,hit_tp,See this. I'm on @M1Singapore network. In the span of this month there are so many bloody spam I had to delete the old ones because they keep spamming. I don't know why Singapore's @IMDAsg won't follow Malaysia's @SKMM_MCMC recommendation to limit SMS spam.pic.twitter.com/ungR4DeY34,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">See this. I'm on <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> network. In the span of this month there are so many bloody spam I had to delete the old ones because they keep spamming. I don't know why Singapore's <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""66555688"" dir=""ltr"" href=""/IMDAsg""><s>@</s><b>IMDAsg</b></a> won't follow Malaysia's <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1632400213"" dir=""ltr"" href=""/SKMM_MCMC""><s>@</s><b>SKMM_MCMC</b></a> recommendation to limit SMS spam.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ungR4DeY34"">pic.twitter.com/ungR4DeY34</a></p>",29-08-2019 4.43,1567053781,1.17E+18,/hit_tp/status/1166934253168259072,1252092296,一人ぼっち (Hitoribocchi),,0
601,FALSE,[],[],TRUE,FALSE,0,[],,1,[],0,androbabu,"@M1Singapore have WORST site. Trying for new broadband but takes 1hr+ still no success
1.http req resp time too long
2.frequent 504GatewayTimeout
3.says selected slot unavailable at end, redirects to mid steps. looped in 6 times thru those steps. why not show only available slot.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> have WORST site. Trying for new broadband but takes 1hr+ still no success
1.http req resp time too long
2.frequent 504GatewayTimeout
3.says selected slot unavailable at end, redirects to mid steps. looped in 6 times thru those steps. why not show only available slot.</p>",28-08-2019 14.56,1567004165,1.17E+18,/androbabu/status/1166726150162272256,320882528,Ram Babu Saravanan,,0
602,FALSE,[],[],FALSE,TRUE,0,[],1.17E+18,0,"[{'screen_name': 'TCrypto64', 'user_id': '1053512742131232768'}]",0,M1Singapore,Hi @TCrypto64 not that we are aware of! Can we check if you are still having difficulties after turning off and on your device? -Hazel,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1053512742131232768"" dir=""ltr"" href=""/TCrypto64""><s>@</s><b>TCrypto64</b></a> not that we are aware of! Can we check if you are still having difficulties after turning off and on your device? -Hazel</p>",26-08-2019 15.31,1566833469,1.17E+18,/M1Singapore/status/1166010199435632642,1.10E+18,M1,,0
603,FALSE,[],[],TRUE,FALSE,1,[],,1,[],0,TCrypto64,@M1Singapore is m1 down east coast area? Kembangan area. ??,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> is m1 down east coast area? Kembangan area. ??</p>",26-08-2019 15.15,1566832538,1.17E+18,/TCrypto64/status/1166006294668406784,1.05E+18,trying_crypto64,,0
604,FALSE,[],[],FALSE,TRUE,0,[],1.16E+18,0,"[{'screen_name': 'a2m8e49k8d3s', 'user_id': '11130352'}]",0,M1Singapore,  - Tharsha,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><img alt=""🙂"" aria-label=""Emoji: Slightly smiling face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f642.png"" title=""Slightly smiling face""/>  - Tharsha</p>",25-08-2019 15.02,1566745358,1.17E+18,/M1Singapore/status/1165640634453102598,1.10E+18,M1,,1
605,FALSE,[],[],FALSE,TRUE,1,[],1.16E+18,0,"[{'screen_name': 'M1Singapore', 'user_id': '1095247821647732738'}, {'screen_name': 'mrbrown', 'user_id': '574253'}]",0,foongnk,It's obviously a trap!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">It's obviously a trap!</p>",25-08-2019 13.56,1566741363,1.17E+18,/foongnk/status/1165623879584272386,417948015,Foong Ngai Keong,,0
606,FALSE,[],[],TRUE,TRUE,0,[],1.16E+18,1,"[{'screen_name': 'M1Singapore', 'user_id': '1095247821647732738'}]",0,a2m8e49k8d3s,"Yes, just followed.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Yes, just followed.</p>",25-08-2019 12.05,1566734736,1.17E+18,/a2m8e49k8d3s/status/1165596083340210177,11130352,Error getting name,,1
607,FALSE,[],[],TRUE,TRUE,0,[],1.17E+18,1,"[{'screen_name': 'anghannahlee', 'user_id': '187053339'}]",0,M1Singapore,"Hi @anghannahlee, not that we are aware of! Can we check if the issue persists after turning off and on your handset and if you notice this happening at a specific location only? Do let us know how it goes. – Abigail","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""187053339"" dir=""ltr"" href=""/anghannahlee""><s>@</s><b>anghannahlee</b></a>, not that we are aware of! Can we check if the issue persists after turning off and on your handset and if you notice this happening at a specific location only? Do let us know how it goes. – Abigail</p>",25-08-2019 5.57,1566712658,1.17E+18,/M1Singapore/status/1165503479659540480,1.10E+18,M1,,0
608,FALSE,[],[],TRUE,FALSE,0,[],,2,[],0,anghannahlee,@M1Singapore is there a problem with internet connection?? I can’t use my data since morning.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> is there a problem with internet connection?? I can’t use my data since morning.</p>",25-08-2019 5.42,1566711725,1.17E+18,/anghannahlee/status/1165499567753687040,187053339,hannah,,0
609,FALSE,[],[],FALSE,TRUE,0,[],1.19E+18,0,"[{'screen_name': 'Jiajinggggg', 'user_id': '423223812'}]",0,M1Singapore,"Hi @Jiajinggggg, we are glad to hear that. Feel free to get in touch with us should you need further assistance. - Eason","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""423223812"" dir=""ltr"" href=""/Jiajinggggg""><s>@</s><b>Jiajinggggg</b></a>, we are glad to hear that. Feel free to get in touch with us should you need further assistance. - Eason</p>",05-11-2019 13.23,1572960237,1.19E+18,/M1Singapore/status/1191707724901318656,1.10E+18,M1,,1
610,FALSE,[],[],TRUE,TRUE,0,[],1.19E+18,1,"[{'screen_name': 'M1Singapore', 'user_id': '1095247821647732738'}]",0,Jiajinggggg,Hey eason it's okay already. Thank u,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hey eason it's okay already. Thank u</p>",05-11-2019 12.53,1572958396,1.19E+18,/Jiajinggggg/status/1191700004236193792,423223812,Jiajing,,1
611,FALSE,[],[],FALSE,TRUE,0,[],1.19E+18,0,"[{'screen_name': 'limbclawrence', 'user_id': '38356838'}]",0,M1Singapore,"Hi @limbclawrence, please drop us a PM should you need further assistance. - Eason","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""38356838"" dir=""ltr"" href=""/limbclawrence""><s>@</s><b>limbclawrence</b></a>, please drop us a PM should you need further assistance. - Eason</p>",05-11-2019 12.30,1572957013,1.19E+18,/M1Singapore/status/1191694205078376448,1.10E+18,M1,,0
612,TRUE,[],['https://pbs.twimg.com/media/EIm9-Z9U8AEzXUU.jpg'],TRUE,TRUE,0,[],1.19E+18,1,"[{'screen_name': 'M1Singapore', 'user_id': '1095247821647732738'}]",0,limbclawrence,Eh that’s quite a different story from the above.... and the connection is back but intermittent. What you suggested has been done twice.pic.twitter.com/G5OhNwkONo,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Eh that’s quite a different story from the above.... and the connection is back but intermittent. What you suggested has been done twice.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/G5OhNwkONo"">pic.twitter.com/G5OhNwkONo</a></p>",05-11-2019 12.23,1572956599,1.19E+18,/limbclawrence/status/1191692469227798528,38356838,Lim Lawrence,,1
613,FALSE,[],[],FALSE,TRUE,0,[],1.19E+18,0,"[{'screen_name': 'ayampenat', 'user_id': '105068634'}, {'screen_name': 'limbclawrence', 'user_id': '38356838'}]",0,M1Singapore,"Hi @ayampenat, feel free to get in touch with us should you need further assistance. - Eason ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""105068634"" dir=""ltr"" href=""/ayampenat""><s>@</s><b>ayampenat</b></a>, feel free to get in touch with us should you need further assistance. - Eason <img alt=""😊"" aria-label=""Emoji: Smiling face with smiling eyes"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60a.png"" title=""Smiling face with smiling eyes""/></p>",05-11-2019 12.15,1572956149,1.19E+18,/M1Singapore/status/1191690579228471296,1.10E+18,M1,,1
614,FALSE,[],[],TRUE,TRUE,0,[],1.19E+18,1,"[{'screen_name': 'Jiajinggggg', 'user_id': '423223812'}]",0,M1Singapore,"Hi @Jiajinggggg, can we check if you are still having difficulties after turning off and on your device? May we trouble you to check if the issue persists via a direct connection to your ONT or via wireless connection only? – Eason","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""423223812"" dir=""ltr"" href=""/Jiajinggggg""><s>@</s><b>Jiajinggggg</b></a>, can we check if you are still having difficulties after turning off and on your device? May we trouble you to check if the issue persists via a direct connection to your ONT or via wireless connection only? – Eason</p>",05-11-2019 12.11,1572955872,1.19E+18,/M1Singapore/status/1191689418874249216,1.10E+18,M1,,0
615,FALSE,[],[],TRUE,TRUE,0,[],1.19E+18,1,"[{'screen_name': 'limbclawrence', 'user_id': '38356838'}]",0,M1Singapore,"Hi @limbclawrence , not that we are aware of! Can we check if you are still having difficulties after turning off and on your device? May we trouble you to check if the issue persists via a direct connection to your ONT or via wireless connection only? – Eason","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""38356838"" dir=""ltr"" href=""/limbclawrence""><s>@</s><b>limbclawrence</b></a> , not that we are aware of! Can we check if you are still having difficulties after turning off and on your device? May we trouble you to check if the issue persists via a direct connection to your ONT or via wireless connection only? – Eason</p>",05-11-2019 12.10,1572955825,1.19E+18,/M1Singapore/status/1191689222694080512,1.10E+18,M1,,0
616,FALSE,[],[],TRUE,TRUE,0,[],1.19E+18,1,"[{'screen_name': 'ayampenat', 'user_id': '105068634'}, {'screen_name': 'limbclawrence', 'user_id': '38356838'}, {'screen_name': 'M1Singapore', 'user_id': '1095247821647732738'}]",0,ayampenat,Okay I’m getting the Internet back after 10 minutes,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Okay I’m getting the Internet back after 10 minutes</p>",05-11-2019 12.04,1572955442,1.19E+18,/ayampenat/status/1191687613154938880,105068634,Syafiq,,1
617,FALSE,[],[],TRUE,TRUE,0,[],1.19E+18,1,"[{'screen_name': 'M1Singapore', 'user_id': '1095247821647732738'}]",0,limbclawrence,Punggol,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Punggol</p>",05-11-2019 12.01,1572955270,1.19E+18,/limbclawrence/status/1191686891780788224,38356838,Lim Lawrence,,1
618,FALSE,[],[],TRUE,TRUE,0,[],1.19E+18,1,"[{'screen_name': 'limbclawrence', 'user_id': '38356838'}, {'screen_name': 'M1Singapore', 'user_id': '1095247821647732738'}]",0,ayampenat,Yes it’s down here in Sengkang,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Yes it’s down here in Sengkang</p>",05-11-2019 12.01,1572955264,1.19E+18,/ayampenat/status/1191686868959735813,105068634,Syafiq,,1
619,FALSE,[],[],TRUE,TRUE,0,[],1.19E+18,1,"[{'screen_name': 'limbclawrence', 'user_id': '38356838'}]",0,M1Singapore,"Hi @limbclawrence, may I know where is your location? - Eason","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""38356838"" dir=""ltr"" href=""/limbclawrence""><s>@</s><b>limbclawrence</b></a>, may I know where is your location? - Eason</p>",05-11-2019 12.00,1572955207,1.19E+18,/M1Singapore/status/1191686628563177472,1.10E+18,M1,,1
620,FALSE,[],[],TRUE,FALSE,0,[],,1,[],0,Jiajinggggg,@M1Singapore is WiFi down at sengkang?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> is WiFi down at sengkang?</p>",05-11-2019 11.56,1572955012,1.19E+18,/Jiajinggggg/status/1191685812515041282,423223812,Jiajing,,1
621,FALSE,[],[],TRUE,FALSE,0,[],,2,[],0,limbclawrence,@M1Singapore is the Internet down?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> is the Internet down?</p>",05-11-2019 11.48,1572954531,1.19E+18,/limbclawrence/status/1191683794333388800,38356838,Lim Lawrence,,1
622,FALSE,[],[],FALSE,FALSE,0,[],,0,[],0,klipklapklop21,@M1Singapore having unreliable data service since Friday is there any problems your data service,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> having unreliable data service since Friday is there any problems your data service</p>",04-11-2019 1.06,1572829570,1.19E+18,/klipklapklop21/status/1191159670741692416,3523137734,Kipklapklop,,0
623,FALSE,[],[],FALSE,TRUE,0,[],1.19E+18,0,"[{'screen_name': 'Isa_Yunyu', 'user_id': '471472211'}, {'screen_name': 'BBMobile', 'user_id': '2562224401'}, {'screen_name': 'StarHubCares', 'user_id': '20901447'}]",0,KimWah0210,@M1Singapore,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a></p>",03-11-2019 15.10,1572793813,1.19E+18,/KimWah0210/status/1191009695500136448,4272189737,KimWah 錦華 🐼,,1
624,FALSE,[],[],FALSE,TRUE,0,[],1.19E+18,0,"[{'screen_name': 'glengyron', 'user_id': '47008273'}]",0,M1Singapore,Will you be able to try to type your details manually? Does using other browser helps? - James,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Will you be able to try to type your details manually? Does using other browser helps? - James</p>",03-11-2019 1.01,1572742912,1.19E+18,/M1Singapore/status/1190796200653524992,1.10E+18,M1,,1
625,FALSE,[],[],TRUE,TRUE,0,[],1.19E+18,1,"[{'screen_name': 'M1Singapore', 'user_id': '1095247821647732738'}]",0,glengyron,"Thanks, so it's on registration, the birthday won't let me just text input, so I had to scroll back... A LOT of years.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Thanks, so it's on registration, the birthday won't let me just text input, so I had to scroll back... A LOT of years.</p>",03-11-2019 0.46,1572741968,1.19E+18,/glengyron/status/1190792239720452096,47008273,Instant Epidemics Expert,,0
626,FALSE,[],[],TRUE,TRUE,1,[],1.19E+18,1,"[{'screen_name': 'glengyron', 'user_id': '47008273'}]",0,M1Singapore,"Hi @glengyron , we greatly appreciate the feedback. This will definitely help us in our service improvement efforts. - James","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""47008273"" dir=""ltr"" href=""/glengyron""><s>@</s><b>glengyron</b></a> , we greatly appreciate the feedback. This will definitely help us in our service improvement efforts. - James</p>",03-11-2019 0.42,1572741755,1.19E+18,/M1Singapore/status/1190791347998990336,1.10E+18,M1,,1
627,FALSE,[],[],TRUE,FALSE,0,[],,1,[],0,glengyron,So @M1Singapore to login you want me to verify my birthday... with a form that pops up a calendar dialogue... that's a lot of scrolling backwards... your customer experience is dreadful.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">So <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> to login you want me to verify my birthday... with a form that pops up a calendar dialogue... that's a lot of scrolling backwards... your customer experience is dreadful.</p>",02-11-2019 23.59,1572739144,1.19E+18,/glengyron/status/1190780394917879808,47008273,Instant Epidemics Expert,,0
628,FALSE,[],[],FALSE,TRUE,0,['https://seekingalpha.com/article/4297795?source=ansh'],1.16E+18,0,"[{'screen_name': 'M1Singapore', 'user_id': '1095247821647732738'}, {'screen_name': 'mfelixruiz', 'user_id': '113426594'}, {'screen_name': 'Pareteum1', 'user_id': '793899972919861248'}]",0,Justice23451,"Why would anyone want to do business with admitted liars & cheats?

Pareteum Finally Admits To Inflating Results - Bankruptcy Might Be In The Cards Now https://seekingalpha.com/article/4297795?source=ansh … $TEUM","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Why would anyone want to do business with admitted liars &amp; cheats?

Pareteum Finally Admits To Inflating Results - Bankruptcy Might Be In The Cards Now <a class=""twitter-timeline-link"" data-expanded-url=""https://seekingalpha.com/article/4297795?source=ansh"" dir=""ltr"" href=""https://t.co/wzz0u6XGUq"" rel=""nofollow noopener"" target=""_blank"" title=""https://seekingalpha.com/article/4297795?source=ansh""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">seekingalpha.com/article/429779</span><span class=""invisible"">5?source=ansh</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-cashtag pretty-link js-nav"" data-query-source=""cashtag_click"" dir=""ltr"" href=""/search?q=%24TEUM&amp;src=ctag""><s>$</s><b>TEUM</b></a></p>",02-11-2019 20.59,1572728345,1.19E+18,/Justice23451/status/1190735101832753152,1.14E+18,Justice2345,,0
649,FALSE,[],[],FALSE,FALSE,0,['https://www.m1.com.sg/Business/Deals/enterprise-mobile-plans'],,0,[],0,M1Singapore,@DragonKiller122  you can refer to this link for promotions on our enterprise mobile plans > https://www.m1.com.sg/Business/Deals/enterprise-mobile-plans … -Jay,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1579725870"" dir=""ltr"" href=""/DragonKiller122""><s>@</s><b>DragonKiller122</b></a>  you can refer to this link for promotions on our enterprise mobile plans &gt; <a class=""twitter-timeline-link"" data-expanded-url=""https://www.m1.com.sg/Business/Deals/enterprise-mobile-plans"" dir=""ltr"" href=""https://t.co/k84G28eUL6"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.m1.com.sg/Business/Deals/enterprise-mobile-plans""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">m1.com.sg/Business/Deals</span><span class=""invisible"">/enterprise-mobile-plans</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> -Jay</p>",02-11-2019 16.18,1572711493,1.19E+18,/M1Singapore/status/1190664418281115650,1.10E+18,M1,,1
650,FALSE,[],[],FALSE,TRUE,0,[],1.18E+18,0,"[{'screen_name': 'Wysie_Soh', 'user_id': '19666400'}]",0,M1Singapore,"Hi @Wysie_Soh , thank you for waiting! My apologies as it took some time to re-confirm the information. In conclusion, Netflix is not a PRS service. You may try to activate it. If the issue persists, please send us a DM to look into it further - Rodan","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""19666400"" dir=""ltr"" href=""/Wysie_Soh""><s>@</s><b>Wysie_Soh</b></a> , thank you for waiting! My apologies as it took some time to re-confirm the information. In conclusion, Netflix is not a PRS service. You may try to activate it. If the issue persists, please send us a DM to look into it further - Rodan</p>",31-10-2019 3.49,1572493746,1.19E+18,/M1Singapore/status/1189751122921246720,1.10E+18,M1,,0
651,FALSE,[],[],FALSE,TRUE,1,[],1.19E+18,0,"[{'screen_name': 'hwsoh', 'user_id': '35175760'}]",0,M1Singapore,Good night @hwsoh ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Good night <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""35175760"" dir=""ltr"" href=""/hwsoh""><s>@</s><b>hwsoh</b></a> <img alt=""😊"" aria-label=""Emoji: Smiling face with smiling eyes"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60a.png"" title=""Smiling face with smiling eyes""/></p>",30-10-2019 12.53,1572439989,1.19E+18,/M1Singapore/status/1189525649234518016,1.10E+18,M1,,1
652,FALSE,[],[],TRUE,TRUE,0,[],1.19E+18,1,"[{'screen_name': 'M1Singapore', 'user_id': '1095247821647732738'}]",0,hwsoh,Cheers!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Cheers!<img alt=""😄"" aria-label=""Emoji: Smiling face with open mouth and smiling eyes"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f604.png"" title=""Smiling face with open mouth and smiling eyes""/></p>",30-10-2019 12.13,1572437596,1.19E+18,/hwsoh/status/1189515611442823168,35175760,Hong Wei,,1
